date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:50:38	107/107	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2021%20Apr%202017%2010:11:47%20GMT	http://www.scottsbasslessons.com/wp-content/plugins/thrive-visual-editor/editor/js/compat.min.js?ver=1.500.14	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/plugins/thrive-visual-editor/editor/js/compat.min9bd5.js	(from http://www.scottsbasslessons.com/)
00:50:40	56086/56086	---M-Z	200	added ('OK')	application/json	date:Fri,%2021%20Jul%202017%2017:50:34%20GMT	http://www.scottsbasslessons.com/wp-json/	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-json/index.html	(from http://www.scottsbasslessons.com/)
00:50:42	890/890	---M-Z	200	added ('OK')	text/xml	date:Fri,%2021%20Jul%202017%2017:50:34%20GMT	https://www.scottsbasslessons.com/xmlrpc.php?rsd	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/xmlrpc0db0.php	(from http://www.scottsbasslessons.com/)
00:50:45	2239/2239	---M-Z	200	added ('OK')	application/json	date:Fri,%2021%20Jul%202017%2017:50:38%20GMT	http://www.scottsbasslessons.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.scottsbasslessons.com%2F	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-json/oembed/1.0/embedf9dc.json	(from http://www.scottsbasslessons.com/)
00:50:47	2340/2340	---M-Z	200	added ('OK')	text/xml	date:Fri,%2021%20Jul%202017%2017:50:41%20GMT	http://www.scottsbasslessons.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.scottsbasslessons.com%2F&format=xml	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-json/oembed/1.0/embedae7c	(from http://www.scottsbasslessons.com/)
00:50:48	8202/8202	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2029%20Jun%202017%2010:21:54%20GMT	http://widget.wickedreports.com/DevineMusicLimited/trackfu.js	C:/Users/LAP11096-local/Desktop/template/lesson/widget.wickedreports.com/DevineMusicLimited/trackfu.js	(from http://www.scottsbasslessons.com/)
00:50:48	3220/3220	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2023%20Jul%202015%2014:28:01%20GMT	http://www.scottsbasslessons.com/wp-content/themes/sbl/js/jquery.fitvids.min.js	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/themes/sbl/js/jquery.fitvids.min.js	(from http://www.scottsbasslessons.com/)
00:50:49	2856/2856	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2001%20Oct%202014%2015:10:31%20GMT	http://www.scottsbasslessons.com/wp-content/themes/sbl/js/jquery.more.min.js	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/themes/sbl/js/jquery.more.min.js	(from http://www.scottsbasslessons.com/)
00:50:49	4048/4048	---M-Z	200	added ('OK')	application/x-javascript	etag:%223ec7c543261e76caf18790fa04e8a5ba%22	http://connect.facebook.net/en_US/fbds.js	C:/Users/LAP11096-local/Desktop/template/lesson/connect.facebook.net/en_US/fbds.js	(from http://www.scottsbasslessons.com/)
00:50:51	30071/30071	---MC-	200	added ('OK')	text/javascript	date:Tue,%2006%20Jun%202017%2000:25:39%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/LAP11096-local/Desktop/template/lesson/www.google-analytics.com/analytics.js	(from http://www.scottsbasslessons.com/)
00:50:51	20513/20513	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202017%2017:50:45%20GMT	http://www.scottsbasslessons.com/bass-academy	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/bass-academy.html	(from http://www.scottsbasslessons.com/)
00:50:51	16580/16580	---M--	200	added ('OK')	image/gif	date:Tue,%2023%20Jun%202015%2014:13:10%20GMT	http://www.scottsbasslessons.com/wp-content/themes/sbl/images/favicon.gif	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/themes/sbl/images/favicon.gif	(from http://www.scottsbasslessons.com/)
00:50:53	24846/24846	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202017%2017:50:47%20GMT	http://www.scottsbasslessons.com/scotts-backstage-bonuses-area	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/scotts-backstage-bonuses-area.html	(from http://www.scottsbasslessons.com/)
00:50:55	26801/26801	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202017%2017:50:49%20GMT	http://www.scottsbasslessons.com/podcast	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/podcast.html	(from http://www.scottsbasslessons.com/)
00:50:59	26741/26741	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202017%2017:50:52%20GMT	https://www.scottsbasslessons.com/academy-login	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/academy-login.html	(from http://www.scottsbasslessons.com/)
00:51:05	723341/723341	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jun%202015%2014:01:13%20GMT	http://www.scottsbasslessons.com/wp-content/uploads/2014/05/sbl-facebook.png	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/uploads/2014/05/sbl-facebook.png	(from http://www.scottsbasslessons.com/)
00:51:16	43898/43898	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202017%2017:50:55%20GMT	http://www.scottsbasslessons.com/courses	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/courses.html	(from http://www.scottsbasslessons.com/)
00:51:19	27448/27448	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202017%2017:51:12%20GMT	http://www.scottsbasslessons.com/guest-sessions	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/guest-sessions.html	(from http://www.scottsbasslessons.com/)
00:51:22	28664/28664	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202017%2017:51:15%20GMT	http://www.scottsbasslessons.com/shows	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/shows.html	(from http://www.scottsbasslessons.com/)
00:51:24	26424/26424	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202017%2017:51:18%20GMT	http://www.scottsbasslessons.com/expert-faculty	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/expert-faculty.html	(from http://www.scottsbasslessons.com/)
00:51:26	29931/29931	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202017%2017:51:20%20GMT	http://www.scottsbasslessons.com/challenges	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/challenges.html	(from http://www.scottsbasslessons.com/)
00:51:30	55902/55902	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202017%2017:51:23%20GMT	https://www.scottsbasslessons.com/sbl-academy-checkout	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/sbl-academy-checkout.html	(from http://www.scottsbasslessons.com/)
00:51:41	74851/74851	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Jun%202015%2018:17:33%20GMT	https://www.scottsbasslessons.com/wp-content/uploads/2014/12/Screen-Shot-2014-12-03-at-12.22.43.png	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/uploads/2014/12/Screen-Shot-2014-12-03-at-12.22.43.png	(from http://www.scottsbasslessons.com/)
00:51:48	101804/101804	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Jun%202015%2018:00:00%20GMT	https://www.scottsbasslessons.com/wp-content/uploads/2015/01/dannymomorris.png	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/uploads/2015/01/dannymomorris.png	(from http://www.scottsbasslessons.com/)
00:51:57	1273271/1273271	---M-Z	200	added ('OK')	application/javascript	etag:%2259721336-4a6ff%22	http://fast.wistia.net/assets/external/E-v1.js	C:/Users/LAP11096-local/Desktop/template/lesson/fast.wistia.net/assets/external/E-v1.js	(from http://www.scottsbasslessons.com/)
00:51:57	201559/201559	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Jun%202015%2018:29:40%20GMT	https://www.scottsbasslessons.com/wp-content/uploads/2014/02/Beginners_Course.png	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/uploads/2014/02/Beginners_Course.png	(from http://www.scottsbasslessons.com/)
00:51:57	333288/333288	---M--	200	added ('OK')	image/png	date:Fri,%2017%20Oct%202014%2010:56:23%20GMT	https://www.scottsbasslessons.com/wp-content/uploads/2014/04/Screen-Shot-2014-10-17-at-11.54.52.png	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/uploads/2014/04/Screen-Shot-2014-10-17-at-11.54.52.png	(from http://www.scottsbasslessons.com/)
00:51:59	76020/76020	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jun%202015%2014:01:33%20GMT	https://www.scottsbasslessons.com/wp-content/uploads/2014/04/launch-vid-1.png	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/uploads/2014/04/launch-vid-1.png	(from http://www.scottsbasslessons.com/)
00:52:14	124028/124028	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Apr%202016%2012:14:21%20GMT	http://www.scottsbasslessons.com/wp-content/themes/sbl/images/seminars-graphic.png	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/themes/sbl/images/seminars-graphic.png	(from http://www.scottsbasslessons.com/)
00:52:15	245133/245133	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Jun%202015%2018:29:31%20GMT	https://www.scottsbasslessons.com/wp-content/uploads/2014/02/Technique_Course.png	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/uploads/2014/02/Technique_Course.png	(from http://www.scottsbasslessons.com/)
00:52:16	917916/917916	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Jun%202015%2013:57:02%20GMT	https://www.scottsbasslessons.com/wp-content/uploads/2014/08/scott-big-bg.jpg	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/uploads/2014/08/scott-big-bg.jpg	(from http://www.scottsbasslessons.com/)
00:52:30	268702/268702	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Jun%202015%2018:29:23%20GMT	https://www.scottsbasslessons.com/wp-content/uploads/2014/08/Bass_Set_Up_Course.png	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/uploads/2014/08/Bass_Set_Up_Course.png	(from http://www.scottsbasslessons.com/)
00:52:37	130001/130001	---M--	200	added ('OK')	image/png	date:Thu,%2015%20Jan%202015%2016:18:26%20GMT	http://www.scottsbasslessons.com/wp-content/uploads/2015/01/faculty-edfriedland.png	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/uploads/2015/01/faculty-edfriedland.png	(from http://www.scottsbasslessons.com/)
00:52:42	168305/168305	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Jun%202015%2018:29:58%20GMT	http://www.scottsbasslessons.com/wp-content/uploads/2014/08/team-profile-scott.png	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/uploads/2014/08/team-profile-scott.png	(from http://www.scottsbasslessons.com/)
00:52:49	204235/204235	---M--	200	added ('OK')	image/png	date:Thu,%2015%20Jan%202015%2016:18:24%20GMT	http://www.scottsbasslessons.com/wp-content/uploads/2015/01/faculty-dannymomorris.png	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/uploads/2015/01/faculty-dannymomorris.png	(from http://www.scottsbasslessons.com/)
00:52:52	58332/58332	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Jun%202015%2017:08:37%20GMT	http://www.scottsbasslessons.com/wp-content/uploads/2015/04/faculty-zoltandekany-300x300.png	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/uploads/2015/04/faculty-zoltandekany-300x300.png	(from http://www.scottsbasslessons.com/)
00:53:00	184838/184838	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Jun%202015%2017:58:52%20GMT	http://www.scottsbasslessons.com/wp-content/uploads/2015/01/faculty-toddjohnson.png	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/uploads/2015/01/faculty-toddjohnson.png	(from http://www.scottsbasslessons.com/)
00:53:08	191553/191553	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Jun%202015%2017:59:02%20GMT	http://www.scottsbasslessons.com/wp-content/uploads/2015/01/faculty-stevelawson.png	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/uploads/2015/01/faculty-stevelawson.png	(from http://www.scottsbasslessons.com/)
00:53:08	117207/117207	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Nov%202015%2009:26:27%20GMT	http://www.scottsbasslessons.com/wp-content/uploads/2015/01/damian-erskine.png	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/uploads/2015/01/damian-erskine.png	(from http://www.scottsbasslessons.com/)
00:53:09	103238/103238	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Jun%202015%2017:09:02%20GMT	http://www.scottsbasslessons.com/wp-content/uploads/2015/04/faculty-philmann-300x300.png	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/uploads/2015/04/faculty-philmann-300x300.png	(from http://www.scottsbasslessons.com/)
00:53:20	125206/125206	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Jun%202015%2017:08:48%20GMT	http://www.scottsbasslessons.com/wp-content/uploads/2015/04/faculty-stefanredtenbacher-300x300.png	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/uploads/2015/04/faculty-stefanredtenbacher-300x300.png	(from http://www.scottsbasslessons.com/)
00:53:34	156809/156809	---M--	200	added ('OK')	image/png	date:Tue,%2009%20Jun%202015%2010:54:25%20GMT	http://www.scottsbasslessons.com/wp-content/uploads/2015/01/faculty-stevejenkins.png	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/uploads/2015/01/faculty-stevejenkins.png	(from http://www.scottsbasslessons.com/)
00:53:38	178132/178132	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jun%202015%2014:11:28%20GMT	http://www.scottsbasslessons.com/wp-content/themes/sbl/images/new-campus-screen.png	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/themes/sbl/images/new-campus-screen.png	(from http://www.scottsbasslessons.com/)
00:53:41	210642/210642	---M--	200	added ('OK')	image/png	date:Tue,%2009%20Jun%202015%2010:53:47%20GMT	http://www.scottsbasslessons.com/wp-content/uploads/2015/01/faculty-cody.png	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/uploads/2015/01/faculty-cody.png	(from http://www.scottsbasslessons.com/)
00:53:44	15467/15467	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jun%202015%2014:05:05%20GMT	http://www.scottsbasslessons.com/wp-content/uploads/2014/01/sbl_paypal.png	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/uploads/2014/01/sbl_paypal.png	(from http://www.scottsbasslessons.com/)
00:53:45	62561/62561	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Sep%202014%2016:13:50%20GMT	http://www.scottsbasslessons.com/wp-content/themes/sbl/images/ns-test-mark.png	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/themes/sbl/images/ns-test-mark.png	(from http://www.scottsbasslessons.com/)
00:53:48	76869/76869	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Sep%202014%2016:13:49%20GMT	http://www.scottsbasslessons.com/wp-content/themes/sbl/images/ns-test-hutch-new.png	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/themes/sbl/images/ns-test-hutch-new.png	(from http://www.scottsbasslessons.com/)
00:53:48	28859/28859	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202017%2017:53:40%20GMT	http://www.scottsbasslessons.com/notes/interview-legendary-bassist-victor-wooten.html	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/notes/interview-legendary-bassist-victor-wooten.html	(from http://www.scottsbasslessons.com/)
00:53:49	215351/215351	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Sep%202014%2016:14:05%20GMT	http://www.scottsbasslessons.com/wp-content/themes/sbl/images/scott-photo-6.png	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/themes/sbl/images/scott-photo-6.png	(from http://www.scottsbasslessons.com/)
00:53:50	34662/34662	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202017%2017:53:44%20GMT	http://www.scottsbasslessons.com/notes/sbl-student-spotlight-ben-walker.html	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/notes/sbl-student-spotlight-ben-walker.html	(from http://www.scottsbasslessons.com/)
00:53:52	32749/32749	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202017%2017:53:46%20GMT	http://www.scottsbasslessons.com/beginners/only-5-scales-you-need-to-learn.html	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/beginners/only-5-scales-you-need-to-learn.html	(from http://www.scottsbasslessons.com/)
00:53:55	49009/49009	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202017%2017:53:48%20GMT	http://www.scottsbasslessons.com/gear/coolest-travel-bass-ever.html	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/gear/coolest-travel-bass-ever.html	(from http://www.scottsbasslessons.com/)
00:53:57	33406/33406	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202017%2017:53:51%20GMT	http://www.scottsbasslessons.com/notes/sbl-student-spotlight-daniel-wester.html	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/notes/sbl-student-spotlight-daniel-wester.html	(from http://www.scottsbasslessons.com/)
00:54:01	111261/111261	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202017%2017:53:53%20GMT	http://www.scottsbasslessons.com/online-video-bass-lessons	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/online-video-bass-lessons.html	(from http://www.scottsbasslessons.com/)
00:54:03	36195/36195	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202017%2017:53:57%20GMT	http://www.scottsbasslessons.com/podcast/in-conversation-with-randy-kertz	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/podcast/in-conversation-with-randy-kertz.html	(from http://www.scottsbasslessons.com/)
00:54:05	36618/36618	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202017%2017:53:59%20GMT	http://www.scottsbasslessons.com/podcast/in-conversation-with-eva-gardner	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/podcast/in-conversation-with-eva-gardner.html	(from http://www.scottsbasslessons.com/)
00:54:08	36072/36072	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202017%2017:54:01%20GMT	http://www.scottsbasslessons.com/podcast/in-conversation-with-cameron-dawson	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/podcast/in-conversation-with-cameron-dawson.html	(from http://www.scottsbasslessons.com/)
00:54:10	36196/36196	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202017%2017:54:04%20GMT	http://www.scottsbasslessons.com/podcast/in-conversation-with-damian-erskine-groove-tools	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/podcast/in-conversation-with-damian-erskine-groove-tools.html	(from http://www.scottsbasslessons.com/)
00:54:12	36631/36631	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202017%2017:54:06%20GMT	http://www.scottsbasslessons.com/podcast/in-conversation-with-carey-nordstrand-wire-wood-magnets	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/podcast/in-conversation-with-carey-nordstrand-wire-wood-magnets.html	(from http://www.scottsbasslessons.com/)
00:54:15	23212/23212	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202017%2017:54:08%20GMT	http://www.scottsbasslessons.com/contact	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/contact.html	(from http://www.scottsbasslessons.com/)
00:54:17	27920/27920	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202017%2017:54:10%20GMT	http://www.scottsbasslessons.com/privacy	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/privacy.html	(from http://www.scottsbasslessons.com/)
00:54:17	13893/13893	---MC-	200	added ('OK')	text/javascript	date:Fri,%2021%20Jul%202017%2017:54:21%20GMT	http://www.googleadservices.com/pagead/conversion.js	C:/Users/LAP11096-local/Desktop/template/lesson/www.googleadservices.com/pagead/f.txt	(from http://www.scottsbasslessons.com/)
00:54:18	39451/39451	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2021%20Apr%202017%2010:11:47%20GMT	http://www.scottsbasslessons.com/wp-content/plugins/thrive-visual-editor/editor/js/thrive_content_builder_frontend.min.js?ver=1.500.14	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/plugins/thrive-visual-editor/editor/js/thrive_content_builder_frontend.min9bd5.js	(from http://www.scottsbasslessons.com/)
00:54:18	21857/21857	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2022%20Apr%202017%2014:39:24%20GMT	http://www.scottsbasslessons.com/wp-content/plugins/thrive-leads/js/frontend.min.js?ver=1.95.15	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/plugins/thrive-leads/js/frontend.mine4ef.js	(from http://www.scottsbasslessons.com/)
00:54:18	1541/1541	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2021%20Apr%202017%2010:11:46%20GMT	http://www.scottsbasslessons.com/wp-content/plugins/thrive-visual-editor/thrive-dashboard/js/dist/frontend.min.js?ver=1.0.41	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/plugins/thrive-visual-editor/thrive-dashboard/js/dist/frontend.mina6dc.js	(from http://www.scottsbasslessons.com/)
00:54:20	47238/47238	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2021%20Jul%202017%2017:54:15%20GMT	http://www.scottsbasslessons.com/wp-content/plugins/s2member/s2member-o.php?ws_plugin__s2member_js_w_globals=1&qcABC=1&ver=160801-160801-1496409231	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/plugins/s2member/s2member-oe387.js	(from http://www.scottsbasslessons.com/)
00:54:21	6280/6280	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2021%20Apr%202017%2010:11:47%20GMT	http://www.scottsbasslessons.com/wp-content/plugins/thrive-visual-editor/editor/css/fonts/thrvicomoon/icomoon.eot?jtzdu4	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/plugins/thrive-visual-editor/editor/css/fonts/thrvicomoon/icomoonf2e9.eot	(from http://www.scottsbasslessons.com/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flat.css?ver=1.500.14)
